iter	Logloss
0	0.6727839362
1	0.6564372233
2	0.6399504639
3	0.6266265904
4	0.614472665
5	0.6032396535
6	0.593102486
7	0.5837576765
8	0.5755851672
9	0.5686242026
10	0.5619685872
11	0.5556358052
12	0.5504064241
13	0.5460980207
14	0.5420040738
15	0.5374634298
16	0.5333458781
17	0.5299860321
18	0.527041311
19	0.5240853345
20	0.5210497196
21	0.5184660017
22	0.5156111154
23	0.5131961108
24	0.5108444625
25	0.508844001
26	0.5071869039
27	0.5050370446
28	0.50227239
29	0.5009748072
30	0.499212773
31	0.4973598608
32	0.4959968397
33	0.4940437244
34	0.4924154645
35	0.4915611009
36	0.4903071846
37	0.4883118847
38	0.4866225771
39	0.4852606756
40	0.4843099907
41	0.4829649901
42	0.4815897127
43	0.4805213669
44	0.4792498614
45	0.4772651181
46	0.4766073002
47	0.4754357039
48	0.4739740813
49	0.4727192301
50	0.4713443835
51	0.469906878
52	0.4688375277
53	0.4682242329
54	0.467254088
55	0.4662511052
56	0.4655991325
57	0.4651066147
58	0.4632197771
59	0.4622766008
60	0.4610829042
61	0.4602330937
62	0.4593042821
63	0.4580348536
64	0.45715484
65	0.4565198003
66	0.4559249362
67	0.4549787874
68	0.4538231085
69	0.4534562939
70	0.4517151829
71	0.4503856102
72	0.4496307105
73	0.4480230748
74	0.4472956933
75	0.4465221619
76	0.4458576267
77	0.445291071
78	0.4446683095
79	0.4437557515
80	0.4435277968
81	0.4428352946
82	0.4421686668
83	0.4410268061
84	0.4399426623
85	0.4394729201
86	0.4388194386
87	0.4381129836
88	0.4375955563
89	0.4372845253
90	0.4370539422
91	0.4365546475
92	0.4360576842
93	0.4356650934
94	0.4354320005
95	0.4349316689
96	0.4346113387
97	0.4343368369
98	0.4333588804
99	0.43312753
100	0.4324216962
101	0.4318497884
102	0.4312201134
103	0.430771859
104	0.4296781516
105	0.42890494
106	0.4285583584
107	0.4280120523
108	0.4274494279
109	0.4271306358
110	0.4260989686
111	0.4256315128
112	0.4255018336
113	0.4245056132
114	0.4243703548
115	0.4231453694
116	0.4229138247
117	0.4222292352
118	0.4218451188
119	0.4215145593
120	0.4210095178
121	0.4205738551
122	0.4195909637
123	0.4187747301
124	0.4186162209
125	0.417857546
126	0.4174561826
127	0.4172848338
128	0.4166946413
129	0.4164827489
130	0.4163982674
131	0.415899318
132	0.4154191895
133	0.4142990862
134	0.4141128032
135	0.4134605375
136	0.413007716
137	0.4125788834
138	0.4123965055
139	0.4120176897
140	0.4115761784
141	0.4111420012
142	0.4107529264
143	0.4107058619
144	0.4105313296
145	0.4103108584
146	0.4100060671
147	0.4092588382
148	0.4087458056
149	0.4082508467
150	0.4076629662
151	0.4075055035
152	0.4071273066
153	0.4068439503
154	0.4066643966
155	0.4062109626
156	0.4053302768
157	0.4051831485
158	0.4044663604
159	0.4041747296
160	0.4040221613
161	0.4030742673
162	0.4026650829
163	0.4022009827
164	0.4016021982
165	0.40134341
166	0.400957861
167	0.4004326793
168	0.4003129878
169	0.3998991703
170	0.3994315366
171	0.3992884092
172	0.3990318229
173	0.3986109754
174	0.3984824621
175	0.39810904
176	0.3977325435
177	0.3974877518
178	0.3973013308
179	0.3970400452
180	0.3966307347
181	0.3961856381
182	0.3958451314
183	0.3956936721
184	0.3951998677
185	0.3943366915
186	0.3942195029
187	0.3939184059
188	0.3938200674
189	0.3931502733
190	0.3929496111
191	0.3928307824
192	0.3926643511
193	0.3922368328
194	0.3919669098
195	0.3918265368
196	0.3916343468
197	0.3913128901
198	0.3910452035
199	0.3908156526
200	0.3907238167
201	0.3905622947
202	0.3903141671
203	0.3896970547
204	0.3895071471
205	0.3884131714
206	0.3879685614
207	0.3876144073
208	0.3869946534
209	0.3867646655
210	0.3860120885
211	0.3858159209
212	0.3855509914
213	0.3853345693
214	0.3851485685
215	0.3848931183
216	0.3843973829
217	0.3842890284
218	0.3839720143
219	0.3837843085
220	0.383363946
221	0.3830185782
222	0.3826950594
223	0.3823023809
224	0.382127383
225	0.3816361076
226	0.3813225289
227	0.3808735395
228	0.3799485052
229	0.3795844423
230	0.3794414658
231	0.3793687401
232	0.3787189679
233	0.3783227049
234	0.3781570987
235	0.3777332771
236	0.3772417057
237	0.377010872
238	0.3762140949
239	0.3758591304
240	0.3751441085
241	0.3749517031
242	0.374304225
243	0.3741130426
244	0.373939099
245	0.3736756572
246	0.3734449341
247	0.3723346934
248	0.3721571065
249	0.3718337349
250	0.3716337423
251	0.3712268558
252	0.3704985644
253	0.3698632963
254	0.3693382237
255	0.3686231532
256	0.3680534541
257	0.3678493336
258	0.3676982989
259	0.3673567155
260	0.3670850712
261	0.3660371188
262	0.3653519911
263	0.3649836691
264	0.3647670272
265	0.3645617758
266	0.3638048119
267	0.3629517306
268	0.3621363182
269	0.3611525092
270	0.3606307912
271	0.3602212556
272	0.3597977022
273	0.3595010974
274	0.3589626445
275	0.358054075
276	0.3574708873
277	0.357231286
278	0.3569673423
279	0.3563473187
280	0.3559619253
281	0.3549646149
282	0.3545026242
283	0.3542252273
284	0.3538941783
285	0.3530508839
286	0.3527596729
287	0.3522501084
288	0.351622915
289	0.3513150998
290	0.3510414083
291	0.3502502572
292	0.3500283386
293	0.3496022383
294	0.348883363
295	0.3486343104
296	0.3480416269
297	0.3476762045
298	0.3470738152
299	0.3462888477
300	0.3459418686
301	0.3457031021
302	0.3452100374
303	0.3444952223
304	0.3438743199
305	0.3434191324
306	0.342814816
307	0.3423143761
308	0.341368193
309	0.3409308625
310	0.3405963432
311	0.3398524309
312	0.3395559429
313	0.3391575218
314	0.3381167121
315	0.3375350265
316	0.33726686
317	0.3368518328
318	0.3362951993
319	0.3357239954
320	0.3351775786
321	0.3346541418
322	0.3343991552
323	0.3339230185
324	0.3336328035
325	0.3331288047
326	0.3326492412
327	0.3319818973
328	0.3314852154
329	0.3312393401
330	0.3307891828
331	0.3302539582
332	0.3299592155
333	0.3297588832
334	0.3293988569
335	0.3289318483
336	0.3284384914
337	0.3279895978
338	0.3275626823
339	0.3273828062
340	0.3269159684
341	0.326782026
342	0.3264512397
343	0.3261444418
344	0.3258547588
345	0.3249674207
346	0.3241008035
347	0.3238344281
348	0.3235597624
349	0.3230074919
350	0.3221905015
351	0.3214388118
352	0.3211480639
353	0.3206841488
354	0.3205175375
355	0.3202721081
356	0.319788639
357	0.3190138799
358	0.3185835259
359	0.3183619155
360	0.3181810038
361	0.3179114875
362	0.3174000171
363	0.3171222774
364	0.3168292863
365	0.3163216482
366	0.3159568423
367	0.3157173293
368	0.3154749087
369	0.3152408553
370	0.3149291909
371	0.3142744144
372	0.3138000339
373	0.3133220165
374	0.3124586153
375	0.311635228
376	0.3110207408
377	0.3104275361
378	0.309752414
379	0.309256209
380	0.3086050964
381	0.3080343403
382	0.3072484599
383	0.306673993
384	0.3059155234
385	0.3054257612
386	0.3048771991
387	0.3044854068
388	0.3040941737
389	0.3037049063
390	0.3029619282
391	0.3024447254
392	0.3022578019
393	0.3020179712
394	0.3017724666
395	0.301376778
396	0.3011015109
397	0.3007596967
398	0.3005565949
399	0.3003400641
400	0.2999706128
401	0.2996159136
402	0.2992612463
403	0.2989971384
404	0.2986054041
405	0.2982316889
406	0.298028447
407	0.2975180054
408	0.2971451044
409	0.2970018239
410	0.2967108
411	0.2965188197
412	0.296332252
413	0.2958921497
414	0.2955161097
415	0.2951023596
416	0.2945063983
417	0.2942596002
418	0.2939291538
419	0.2935881094
420	0.2933158719
421	0.2929573126
422	0.2925260341
423	0.2923695537
424	0.2921093638
425	0.2918946117
426	0.2913881269
427	0.291178379
428	0.2908944719
429	0.2903780091
430	0.2902328154
431	0.2898471101
432	0.2894883796
433	0.2891397331
434	0.2888145905
435	0.2884763538
436	0.2882086106
437	0.287999162
438	0.2876945479
439	0.2872013965
440	0.2870945558
441	0.2867272025
442	0.2863851354
443	0.2862503049
444	0.2861173548
445	0.2858019629
446	0.2854917002
447	0.2850911457
448	0.2848813157
449	0.2845141543
450	0.2841583174
451	0.2837717147
