model_name,accuracy,precision,recall,f1_score,roc_auc
XGBoost_Tuned,0.9132885683494985,0.7386363636363636,0.5307788944723618,0.6176900584795322,0.8694908862908757
XGBoost_SMOTE,0.9074028019563956,0.6974231088944306,0.5270100502512562,0.6003577817531306,0.8578180931877418
XGBoost,0.8715079167702893,0.5102439024390244,0.657035175879397,0.5744096650192202,0.8706196619138094
RandomForest,0.886512476166791,0.5689548546691404,0.5778894472361809,0.5733873480835151,0.8386505334906795
CatBoost,0.861062753875487,0.4803186504217432,0.6438442211055276,0.5501878690284487,0.855031382439847
LogisticRegression,0.8139766227306641,0.3811953352769679,0.657035175879397,0.48247232472324725,0.8163611066986158
IsolationForest,0.8317168200281854,0.3677536231884058,0.38253768844221103,0.375,
